Nom,Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche,Photo,Adresse,Latitude,Longitude,Id,Vérifié
Experimental Cocktail Club,19:00-2:00,19:00-2:00,19:00-2:00,19:00-2:00,19:00-4:00,19:00-4:00,20:00-2:00,experimentalcocktailclub.png (https://dl.airtable.com/VtjuB9oqRny2eF2I9Zx4_experimentalcocktailclub.png),"37 Rue Saint-Sauveur, 75002 Paris",48.8660675,2.3460723,94,checked
Compagnie des Vins Surnaturels,18:00-2:00,18:00-2:00,18:00-2:00,18:00-2:00,18:00-2:00,18:00-2:00,18:00-2:00,lacompagniedesvinssurnaturels.jpg (https://dl.airtable.com/RkXoRon0SlqC6koE6V9U_lacompagniedesvinssurnaturels.jpg),"7 Rue Lobineau, 75006 Paris",48.8516172,2.3340847,95,checked
Sputnik,17:00-2:00,17:00-2:00,17:00-2:00,17:00-2:00,14:00-2:00,14:00-2:00,16:00-00:00,sputnik.jpg (https://dl.airtable.com/OBEMX38RWq65UUQSFCSR_sputnik.jpg),"14 rue de la Butte aux Cailles, 75013 Paris",48.82796,2.3488228,96,checked
Le Merle Moqueur,17:00-2:00,17:00-2:00,17:00-2:00,17:00-2:00,17:00-2:00,17:00-2:00,17:00-2:00,lemerlemoqueur.jpg (https://dl.airtable.com/D44yPsj4QqivNgATUIyY_lemerlemoqueur.jpg),"11 Rue De La Butte Aux Cailles, 75013 Paris",48.8277254,2.3482142,97,checked
Inside Bar,,17:00-2:00,17:00-2:00,17:00-2:00,17:00-2:00,18:00-2:00,,inside-bar.jpg (https://dl.airtable.com/H4UqfyelRuSz2eqPher1_inside-bar.jpg),"14 Rue Claude Tillier, 75012 Paris",48.8480775,2.3858853,98,checked
La P'tite Mousse,,15:00-22:00,17:00-22:00,15:00-22:00,15:00-22:00,13:00-22:00,,26804516_2489313464627547_6987249788738927779_n.jpg?_nc_cat=0&oh=a4ceb5921d273ac5c8f63b6c6585d805&oe=5B5DB79D (https://dl.airtable.com/pqrG34krSUKCabP1PqFe_26804516_2489313464627547_6987249788738927779_n.jpg%3F_nc_cat%3D0%26oh%3Da4ceb5921d273ac5c8f63b6c6585d805%26oe%3D5B5DB79D),"29 Rue de Douai, 75009 Paris",48.8824706,2.3305275,99,checked
Le Trente Neuf,12:00-15:0/18:00-23:00,12:00-15:0/18:00-23:00,12:00-15:0/18:00-23:00,12:00-15:0/18:00-23:00,12:00-15:0/18:00-23:00,12:00-23:00,12:00-23:00,le-trente-neuf-vue-de-l-exterieur-b0ec8.jpg (https://dl.airtable.com/F2UeJSCFRvmu9Mmlueke_le-trente-neuf-vue-de-l-exterieur-b0ec8.jpg),"39 Rue Beaubourg, 75003 Paris",48.8621693,2.3537005,100,checked
Les Petits Céleste,,17:30-2:00,17:30-2:00,17:30-2:00,17:30-2:00,17:30-2:00,,petitscelestes-726x400.jpg (https://dl.airtable.com/3Dcki1fUQQ6mxbpBo81X_petitscelestes-726x400.jpg),"52 Rue Richard Lenoir, 75011 Paris

",48.8566742,2.3789857,102,checked
Plan B,16:30-0:00,16:30-0:00,16:30-2:00,16:30-2:00,16:30-2:00,16:30-2:00,,19092638_1909690515969781_4478932395216742432_o.jpg?_nc_cat=0&oh=6999a7e80d277c8ebf1357aee13180a1&oe=5B990545 (https://dl.airtable.com/asOuLBtHTDai4cM840XC_19092638_1909690515969781_4478932395216742432_o.jpg%3F_nc_cat%3D0%26oh%3D6999a7e80d277c8ebf1357aee13180a1%26oe%3D5B990545),28 rue de Lourmel,48.8489659,2.2885123,103,checked
Le Commerce Café,6:00-00:00,6:00-00:00,6:00-00:00,6:00-00:00,6:00-00:00,6:00-00:00,6:00-00:00,commerce-cafe-ouv.jpg (https://dl.airtable.com/C6HS3QpQRh2h7t6sqZkG_commerce-cafe-ouv.jpg),"80 rue du commerce, 75015 Paris",48.844952,2.2917639,104,checked
À la Tour Eiffel,6:30-01:00,6:30-01:00,6:30-01:00,6:30-01:00,6:30-01:00,6:30-01:00,6:30-00:00,a-la-tour-eiffel-1.jpg (https://dl.airtable.com/fjkfLuTTzuJxesECsFvX_a-la-tour-eiffel-1.jpg),"96 rue du commerce, 75015 Paris",48.843807,2.2907734,105,checked
3 Ducks Hostel Bar,14:00-1:30,14:00-1:30,14:00-1:30,14:00-1:30,14:00-1:30,14:00-1:30,14:00-1:30,28.jpg (https://dl.airtable.com/K3sfvEodSeaotAajKIcT_28.jpg),"6 place Etienne Pernet, 75015 Paris",48.8435559,2.290325,106,checked
Comptoir Moderne,16:00-00:00,16:00-00:00,16:00-00:00,16:00-00:00,16:00-02:00,11:00-02:00,11:00-00:00,comptoir-moderne.jpg (https://dl.airtable.com/63u7mYhmR6O6Gijd7uKW_comptoir-moderne.jpg),"26 rue de La Croix Nivert, 75015 Paris",48.8467582,2.2974596,107,checked
Le Loti,,18:00–02:00,18:00–02:00,18:00–02:00,18:00–02:00,18:00–02:00,,1500288129.jpg (https://dl.airtable.com/163GEXytRz6sL0aXw23L_1500288129.jpg),"53 Rue Jean-Pierre Timbaud, 75011 Paris",48.8668635,2.3720378,108,checked
